pal_id,catchable,min_level,max_level,wild_min_level,wild_max_level,common_wild_min_level,common_wild_max_level,boss_min_level,boss_max_level,day_count,night_count,world_tree_day_count,world_tree_night_count,summary,map_source_url
105:0,true,32,80,32,80,32,35,70,70,102,102,0,0,健康的个体，背部熔岩的流动也会十分顺畅。 如果生活习惯不健康，熔岩流动也会越来越滞涩。 最坏会发生熔岩堵塞，最后突然大爆发。,https://paldb.cc/cn/Palpagos_Islands?pal=VolcanoDragon&t=dayTimeLocations
63:0,true,20,80,20,80,25,25,30,45,272,272,0,0,它的性格正如外表一样单纯无害。 正因为如此，它无法很好地区分善恶， 容易被内心歹毒的人利用。,https://paldb.cc/cn/Palpagos_Islands?pal=FairyDragon&t=dayTimeLocations
126:0,true,40,49,40,48,46,46,47,49,70,70,0,0,曾经有一段时间流行过球犰足球这项运动。 虽然因为收到帕鲁保护组织的强烈反对，很快就被废除， 但其实被当球踢能够清理死皮，球犰也并非不情不愿。,https://paldb.cc/cn/Palpagos_Islands?pal=SmallArmadillo&t=dayTimeLocations
52:0,true,10,45,12,42,12,13,10,45,0,160,0,0,它喜欢突然出现在其他帕鲁面前，傲慢地张开双翼炫耀自己。 虽然是一种恐吓行为， 但它脸上却带有几分陶醉的神情。,https://paldb.cc/cn/Palpagos_Islands?pal=CatBat&t=dayTimeLocations
34:0,true,6,53,6,53,14,16,10,13,393,393,0,0,只要它肚子不饿，它背上的草丛就会结出野莓。 若它遇见中意的对象，它会请对方吃掉自己的野莓， 抓住了对方的胃，就诞生了一对新的伴侣。,https://paldb.cc/cn/Palpagos_Islands?pal=BerryGoat&t=dayTimeLocations
33:0,true,5,44,5,44,10,11,10,13,458,458,0,0,猎狼与人类之间的关联早已淡化， 但过去与人类共同狩猎的模式， 构成了它们如今的狩猎体系。,https://paldb.cc/cn/Palpagos_Islands?pal=Garm&t=dayTimeLocations
133:0,true,32,34,32,34,32,32,,,21,21,0,0,「直视雪墩墩的眼睛」 这句话的意思是要透过现象看本质。 说起来不知为何，从来没有想要探究雪墩墩到底有没有眼睛的研究者。,https://paldb.cc/cn/Palpagos_Islands?pal=SmallYeti&t=dayTimeLocations
92:0,true,23,40,23,36,30,32,37,40,140,140,0,0,它对落单的帕鲁往往很和蔼可亲。 但要是有误会了什么的帕鲁因此缠上它， 它就会立即找来落雷解决掉对方。,https://paldb.cc/cn/Palpagos_Islands?pal=RaijinDaughter&t=dayTimeLocations
39:0,true,9,35,9,35,9,9,17,19,88,88,0,0,它全身上下都比糖还要甜18000倍。 被其气味吸引的肉食性帕鲁，若是咬上一口， 就会被甜到翻白眼昏迷。,https://paldb.cc/cn/Palpagos_Islands?pal=SweetsSheep&t=dayTimeLocations
85:0,true,23,59,23,59,25,42,25,38,1839,1839,0,0,它在死亡时身体会化为刀，由下一代继承。 浪刃武士以外的生物拿到这把刀时， 会因承受不住它的亡者之声而发狂。,https://paldb.cc/cn/Palpagos_Islands?pal=Ronin&t=dayTimeLocations
32:0,true,6,80,6,80,9,11,10,13,227,227,0,0,拥有最富有力量感的双角的个体，会成为这种帕鲁的领袖。 犄角断裂时，内心也会大受打击。 这时候它就会默默离开族群，在远离人烟的地方结束一生。,https://paldb.cc/cn/Palpagos_Islands?pal=Deer&t=dayTimeLocations
100:0,true,31,40,31,36,31,32,40,40,367,367,0,0,当某种感情变得强烈时，它的尖刺就会伸缩。 被精心养育的球抱苞，会令人忍不住想要拥入怀中， 但是十有八九都是悲剧结尾。,https://paldb.cc/cn/Palpagos_Islands?pal=CactusDoll&t=dayTimeLocations
97:0,true,10,58,10,58,30,30,47,49,82,316,0,0,散发着光芒的拟饵照亮了黑暗。 被这光亮吸引来的帕鲁如果被冥灯鱼发现的话，那可是插翅难逃了。 它会一直作为其向导，直到该帕鲁平安返回自己的家。,https://paldb.cc/cn/Palpagos_Islands?pal=GhostAnglerfish&t=dayTimeLocations
35:0,true,5,34,5,34,20,20,,,100,100,0,0,在地面爬行，并以微小的有机物为食的帕鲁。 摄入的没营养的物质一段时间后会排出体外。 将它用作拖把进行清洁的话，就能构筑双赢的关系。,https://paldb.cc/cn/Palpagos_Islands?pal=MopBaby&t=dayTimeLocations
53:0,true,10,47,10,47,25,26,17,40,918,918,0,0,这类帕鲁产下的蛋会爆炸，相当恐怖。 平时会将从屁股射出的蛋用作武器， 不过若它无计可施，它就会采取自爆手段了。,https://paldb.cc/cn/Palpagos_Islands?pal=ColorfulBird&t=dayTimeLocations
88:0,true,1,40,1,36,1,1,37,40,679,679,0,0,虽然看上去就像是什么生物自布偶中向外窥视一样， 但是试着将手探进去却又什么也摸不到。 不仅如此，手甚至可以无止境地向深处伸去， 也许，这里面就是宇宙吧。,https://paldb.cc/cn/Palpagos_Islands?pal=StuffedShark&t=dayTimeLocations
72:0,true,16,45,16,44,33,35,42,45,242,242,0,0,种群内能在雪上滑行最快的个体，就是最了不起的个体。 有时会有因为冲太快飞跃起来的个体突然从天而降， 在争夺首领地位时这种情况尤其多发。 今天晴转多云，部分地区大到「豹」雨。,https://paldb.cc/cn/Palpagos_Islands?pal=IceSeal&t=dayTimeLocations
136:0,true,13,48,13,48,45,45,,,11,11,0,0,什么奇怪的东西都毫不在意地往嘴里塞， 导致头顶的嘴有时会患上口腔溃疡。 每当这种时候，就由脸部的嘴来替代。 但是胡乱吃东西的毛病依然不改，最终两张嘴都得了口腔溃疡。,https://paldb.cc/cn/Palpagos_Islands?pal=VenusFlytrap&t=dayTimeLocations
45:0,true,6,58,6,58,50,50,10,13,873,117,0,0,和海月灵样貌非常接近的帕鲁。 和朋友们出行计划过多，导致预定计划冲突时， 就会拜托关系要好的海月灵，让它代替它去。 作为回礼会和海月灵约一次会。,https://paldb.cc/cn/Palpagos_Islands?pal=JellyfishFairy&t=dayTimeLocations
142:0,true,48,80,48,80,48,48,55,55,326,326,0,0,背部堆砌的石头有一定自我意识。 若是取下来放到别处， 就会自己移动，试图回到本体所在的地方。,https://paldb.cc/cn/Palpagos_Islands?pal=CubeTurtle&t=dayTimeLocations
163:0,true,63,69,63,65,64,64,65,69,34,34,0,0,传统的健康疗法中有着，向浴缸中放入电涡蜗， 然后享受电疗浴的做法。 换句话说就是，古老偏方，切勿模仿。,https://paldb.cc/cn/Palpagos_Islands?pal=ElecSnail&t=dayTimeLocations
155:0,true,13,56,13,56,53,53,51,52,52,52,0,0,为了到达「无我」的境地而不停的冥想。 直面烦恼并顿悟之后，它都会胃口大开吃到撑， 每当此时就会有所感悟——今天吃太多了。,https://paldb.cc/cn/Palpagos_Islands?pal=SifuDog&t=dayTimeLocations
38:0,true,9,40,9,36,18,18,17,40,144,144,0,0,它那巨大的双臂就连铁块都能撕裂。 过去曾有过将犯下重罪的人绑在城镇的广场上， 让吊缚灵直接撕下他的肉这种极端残忍的处刑。,https://paldb.cc/cn/Palpagos_Islands?pal=WindChimes&t=dayTimeLocations
184:0,true,79,79,,,,,79,79,0,0,1,1,很久以前，在通信手段匮乏的年代， 人们曾通过闪烁磐甲龙翅膀内侧的光芒， 传递简单的信号。,https://paldb.cc/cn/Palpagos_Islands?pal=DomeArmorDragon&t=dayTimeLocations
90:0,true,10,68,10,68,28,28,,,105,105,0,0,磨砺一脉相传的武术，唯有日日精进！ 沉溺情爱乃荒唐无稽！唯有日日修行！ 时机已至！向心仪之人发起攻势！唯有失恋！ 恋爱之术未曾传承！此情唯有未竟！,https://paldb.cc/cn/Palpagos_Islands?pal=PandaGirl&t=dayTimeLocations
179:0,true,75,78,75,77,75,77,78,78,0,0,43,43,在它眼中，人类不过是方便的寄生对象罢了。 红菇娘之所以演化成现在的模样， 就是为了让人类放松警惕，从而更高效地传播孢子。,https://paldb.cc/cn/Palpagos_Islands?pal=MushroomLady&t=dayTimeLocations
137:0,true,46,80,46,80,46,46,52,52,17,17,0,0,传说它是火山喷发之际一同诞生的产物。 曾有可疑的团体主张， 这片大陆其实就是巨大焰煌的背。,https://paldb.cc/cn/Palpagos_Islands?pal=KingBahamut&t=dayTimeLocations
169:0,true,13,67,13,67,66,66,,,117,117,0,0,通过旋转螺旋桨般的尾巴获得推进力。 根据以前的研究，若是能忽视肉体的崩溃， 理论上能够实现时速141.6km/h的游泳速度。,https://paldb.cc/cn/Palpagos_Islands?pal=KingSunfish&t=dayTimeLocations
159:0,true,55,80,55,80,55,55,55,55,12,12,22,22,即便被拆解成215块零件，只要再拼装到一起， 便又能完好如初正常活动的神奇帕鲁。 需注意如果拼装过程中混进其他个体的零件， 它就会因为失去人格同一性而陷入抑郁。,https://paldb.cc/cn/Palpagos_Islands?pal=WingGolem&t=dayTimeLocations
173:0,true,10,69,10,67,66,66,65,69,50,50,0,0,有人认为它之所以经常摇头晃脑的，是为了拟态成被风吹动的花朵。 但是也有人反驳， 难道不是快速扭来扭去的红花看起来太掉SAN，所以谁都不想接近吗。,https://paldb.cc/cn/Palpagos_Islands?pal=RedFlowerBird&t=dayTimeLocations
176:0,true,55,74,55,74,55,55,,,18,18,63,63,有时会被自己召唤的分身打败，并被取而代之。 就连它自己也不太清楚昨天的拉比耶尔和今天的拉比耶尔还是同一只吗。,https://paldb.cc/cn/Palpagos_Islands?pal=ClownRabbit&t=dayTimeLocations
95:0,true,15,37,30,37,30,30,15,15,188,188,0,0,当极光在夜空中闪耀时， 这种帕鲁会仰望天空，以美妙的嗓音歌唱。 但这个习性也让它非常容易被敌人锁定。,https://paldb.cc/cn/Palpagos_Islands?pal=IceFox&t=dayTimeLocations
46:0,true,11,63,11,63,50,50,17,19,9,1197,0,0,和海月仙样貌非常接近的帕鲁。 有时会为了计划冲突的海月仙，作为它的替身代替其赴约。 由于演技过于逼真，谁都没有注意到是替身。,https://paldb.cc/cn/Palpagos_Islands?pal=JellyfishGhost&t=dayTimeLocations
177:0,true,74,78,74,78,74,78,,,0,0,80,80,爪子有些不太老实，会趁人不注意顺爪牵羊。 就算快暴露了也没关系。 只要迅速连「眼睛」一起偷走，那就不会被目击到行窃现场了。,https://paldb.cc/cn/Palpagos_Islands?pal=ThiefBird&t=dayTimeLocations
164:0,true,63,69,63,69,64,64,65,69,53,53,0,0,它会将不好的记忆封存在绒毛球里。 风一吹，绒毛乘风而去， 忧郁的心情也随之飘散。,https://paldb.cc/cn/Palpagos_Islands?pal=DandelionGirl&t=dayTimeLocations
9:0,true,4,62,4,62,4,4,47,49,675,675,0,0,族群中犯下大错的个体会被逼迫自裁。 用树枝刺穿自己那膨胀到极限的鸣囊， 就会像泄气的气球一样飞向大气圈的远方，魂归天国。,https://paldb.cc/cn/Palpagos_Islands?pal=KendoFrog&t=dayTimeLocations
158:0,true,55,80,80,80,80,80,55,55,1,1,0,0,来自深渊，暴乱之兽。 汝不得立于此兽之前。 汝不得聆听此兽之声。,https://paldb.cc/cn/Palpagos_Islands?pal=BlackMetalDragon&t=dayTimeLocations
77:0,true,10,29,10,25,22,22,27,29,86,86,0,0,它喜欢植物众多的地方， 但是最近，波娜兔似乎集体染上了花粉症。,https://paldb.cc/cn/Palpagos_Islands?pal=FlowerRabbit&t=dayTimeLocations
18:0,true,11,44,11,44,20,22,15,15,315,315,0,0,其实它与企丸丸是毫无关系的物种。 但因为什么都不做就能获得大家的追捧， 所以就努力摆出一副高傲的态度。,https://paldb.cc/cn/Palpagos_Islands?pal=CaptainPenguin&t=dayTimeLocations
61:0,true,16,29,16,25,16,16,27,29,271,271,0,0,吸入它的鳞粉后，会获得升天般的愉悦感。 虽然有人试图对这种帕鲁严加管理， 但受到帕鲁保护团体的反对，至今没有进展。,https://paldb.cc/cn/Palpagos_Islands?pal=CuteButterfly&t=dayTimeLocations
73:0,true,5,40,5,36,21,22,36,40,158,836,0,0,这种帕鲁对站姿的讲究异常执着。 它总是追求着最帅气的姿势。 给它一面镜子的话，它能为研究姿势而站一整天。,https://paldb.cc/cn/Palpagos_Islands?pal=LizardMan&t=dayTimeLocations
69:0,true,10,42,10,42,30,38,37,40,0,768,0,0,它总是为了寻求一夜之欢而纠缠他人。 一开始只对帕鲁有兴趣， 但近年来，它的魔爪也开始伸向人类。,https://paldb.cc/cn/Palpagos_Islands?pal=PinkLizard&t=dayTimeLocations
106:0,true,32,49,32,45,32,34,47,49,42,42,0,0,会用其独特的舞蹈打乱对手的节奏。 在领地争夺时，首先被对方带节奏的那一方就是败者。 求爱、消遣、万事唯有舞蹈！ 话说，当它面向人类跳舞时，那又代表着什么意思呢？,https://paldb.cc/cn/Palpagos_Islands?pal=TropicalOstrich&t=dayTimeLocations
60:0,true,9,29,9,25,16,16,27,29,259,259,0,0,它的刺上有毒，被刺到会有危险。 与幻悦蝶关系很好， 只有让它吸花蜜时，才会露出开心的表情。,https://paldb.cc/cn/Palpagos_Islands?pal=LittleBriarRose&t=dayTimeLocations
86:0,true,10,45,10,41,10,10,42,45,229,229,0,0,它的口腔内部十分凉爽，只要把嘴闭上就是移动冷库。 其唾液中所含的特殊成份也有食品保鲜的作用。 虽然也不是不能被人类当做保存食物的冰箱， 至于卫生方面的问题，还是闭上嘴比较好。,https://paldb.cc/cn/Palpagos_Islands?pal=IceCrocodile&t=dayTimeLocations
44:0,true,1,62,1,62,1,1,17,19,399,399,0,0,这种帕鲁的脸上总是挂著微笑。 捣蛋猫偶尔会恶作剧，把它的缎带打成死结， 只有这种时候它才会露出恶鬼般的神色。,https://paldb.cc/cn/Palpagos_Islands?pal=PinkRabbit&t=dayTimeLocations
156:0,true,53,56,53,56,53,53,,,52,52,0,0,曾经岛上有过力士獒相扑的娱乐活动， 若是最高级别的力士獒的话， 在受到草莽猪的突进攻击时， 结果反而是草莽猪会被击飞。,https://paldb.cc/cn/Palpagos_Islands?pal=SumoDog&t=dayTimeLocations
120:0,true,39,80,39,80,39,39,,,325,325,0,0,如同金色绷带般的器官有着伸缩自如的特性。 若是处于极端干燥的环境下会发生断裂， 所以每天检查保湿必不可少。,https://paldb.cc/cn/Palpagos_Islands?pal=MummyPal&t=dayTimeLocations
28:0,true,5,13,5,13,5,5,10,13,148,148,0,0,它十分好战，会在弄清双方力量差距前挑事。 虽然身材娇小，但拥有惊人的冲锋威力， 甚至能弹飞巨大岩石。,https://paldb.cc/cn/Palpagos_Islands?pal=Boar&t=dayTimeLocations
150:0,true,13,66,13,66,50,65,56,60,1622,1622,0,0,像是假面的部分，貌似并不是它的脸。 仿佛就在眼前，但实际上又似乎并不存在。 常常不知道从哪里，仿佛有双眼睛在注视这边。 转头看去，似乎就在背后。,https://paldb.cc/cn/Palpagos_Islands?pal=MysteryMask&t=dayTimeLocations
7:0,true,2,18,2,18,2,4,10,13,867,867,0,0,它会乘着风任其带它翱翔四方。 只要在旅途中找到命中之人， 就会结束自己的旅程。,https://paldb.cc/cn/Palpagos_Islands?pal=FlyingManta&t=dayTimeLocations
104:0,true,13,80,13,80,32,35,36,38,150,150,0,0,虽说与迅雷鸟外形相似，但并无任何关系。 它主要以岩石为食，因此经年累月后， 不只是鸟喙，它的整个头部也变得十分坚硬。,https://paldb.cc/cn/Palpagos_Islands?pal=RedArmorBird&t=dayTimeLocations
22:0,true,4,16,4,16,4,4,10,13,0,164,0,0,它可以使心仪的对象陷入熟睡当中， 并使对方永远做着幸福的美梦。 直到死亡来临之前都不会醒来。,https://paldb.cc/cn/Palpagos_Islands?pal=DreamDemon&t=dayTimeLocations
10:0,true,1,40,1,40,5,5,27,29,208,208,0,0,在达鼠泥看来，坏了的东西只要捶一下就好了。 而它的力道掌控，对人类而言堪称完美。 只要被其捶一下，停止跳动的心脏就能顺利起搏。,https://paldb.cc/cn/Palpagos_Islands?pal=LeafMomonga&t=dayTimeLocations
103:0,true,11,80,32,80,32,32,11,45,118,118,0,0,它能将身体蜷缩起来，并以迅疾的速度旋转移动。 过去人们会在被驯服的疾旋鼬身上装上放牛奶的袋子再放牧， 以此利用它的旋转能力来制作黄油。,https://paldb.cc/cn/Palpagos_Islands?pal=WeaselDragon&t=dayTimeLocations
40:0,true,8,21,8,21,9,15,17,19,111,111,0,0,这种帕鲁不须特意照料，无论其性别为何， 都会像水龙头般地分泌大量牛奶。 这就是生命的神秘之处吧。,https://paldb.cc/cn/Palpagos_Islands?pal=CowPal&t=dayTimeLocations
138:0,true,46,80,46,80,46,46,55,75,36,36,41,41,一副身躯，两个意识。 有时会因为思路分歧而发生争吵。 在它们和好前，完全不知道躯体会往哪里去！,https://paldb.cc/cn/Palpagos_Islands?pal=GrassGolem&t=dayTimeLocations
62:0,true,10,71,10,71,18,18,65,69,113,113,0,0,泡在水里的话，蓬松的毛会大量吸水。 在它抖动身体甩干水分时，会伴随剧烈的放电， 和它一起泡澡可是赌命的行为。,https://paldb.cc/cn/Palpagos_Islands?pal=ElecPomeranian&t=dayTimeLocations
19:0,true,4,40,4,40,4,5,10,13,0,263,0,0,这类帕鲁经常会陷入沉思， 且会因过度思考而失眠。 「我思故我在」。,https://paldb.cc/cn/Palpagos_Islands?pal=WizardOwl&t=dayTimeLocations
43:0,true,9,19,9,18,9,10,17,19,1371,1371,0,0,它的性格会因出生地水质的不同而有所差异。 诞生于肮脏水源地的水灵儿大多都性格恶劣， 一副街边混混的派头。,https://paldb.cc/cn/Palpagos_Islands?pal=Kelpie&t=dayTimeLocations
17:0,true,2,45,2,41,2,4,10,45,1130,1130,0,0,它的翅膀已完全退化，无法飞翔。 但基因中刻着对天空的向往。 因此它想尽办法，想要再一次飞翔。,https://paldb.cc/cn/Palpagos_Islands?pal=Penguin&t=dayTimeLocations
182:0,true,76,78,76,78,76,78,,,0,0,47,47,经历过美好的体验之后，若不经历同等程度糟糕的体验就无法释怀。 若要精心养育墨罗娜的话， 必须要做好相应的心理准备。,https://paldb.cc/cn/Palpagos_Islands?pal=MonochromeQueen&t=dayTimeLocations
29:0,true,5,53,5,53,5,5,10,13,94,94,0,0,它刚出生时无法很好地操纵火焰， 动不动就不小心喷出火焰，结果呛到自己。 火绒狐的喷嚏会引起森林火灾。,https://paldb.cc/cn/Palpagos_Islands?pal=Kitsunebi&t=dayTimeLocations
23:0,true,4,14,4,14,4,4,10,13,72,72,0,0,在古时这种帕鲁会使用树枝等细长状的物品作为武器。 但在它们与人类频繁接触后，便不再使用这些物品。 因为它们发现了同样细长，却更为高效的「枪械」。,https://paldb.cc/cn/Palpagos_Islands?pal=Monkey&t=dayTimeLocations
51:0,true,12,45,12,45,12,12,18,40,228,228,0,0,它会将刚出生的帕鲁抓到巢中， 代替父母养育它长大。 等到能吃的时候，就会猎杀它。,https://paldb.cc/cn/Palpagos_Islands?pal=HawkBird&t=dayTimeLocations
24:0,true,4,48,4,48,4,5,17,19,0,153,0,0,如果在夜路上发现了露娜蒂的毛， 最好不要將它捡起，而是直接原路返回。 因为那是通往无尽黑夜的单程票。,https://paldb.cc/cn/Palpagos_Islands?pal=NightFox&t=dayTimeLocations
4:0,true,1,18,1,18,1,5,10,13,211,211,0,0,拥有等同于5至7岁儿童的智力。 虽然很适合作为伙伴，但也有不少的记录显示， 有些个体在学会使用武器后杀害了自己的主人。,https://paldb.cc/cn/Palpagos_Islands?pal=Carbunclo&t=dayTimeLocations
25:0,true,4,38,4,35,4,4,36,38,232,232,0,0,这种帕鲁哭泣时流的不是眼泪，而是岩浆。 而这些岩浆更会被身体吸收，使它的躯体越来越炎热。 换言之，流过的眼泪越多，它就越强。,https://paldb.cc/cn/Palpagos_Islands?pal=LavaGirl&t=dayTimeLocations
20:0,true,5,17,5,17,5,10,10,13,270,270,0,0,可别被它那毛茸茸的外表给骗了。 若挨下由它那双长腿甩出的一记超高速踢击， 整个人可是会飞到地球的另一端。,https://paldb.cc/cn/Palpagos_Islands?pal=Alpaca&t=dayTimeLocations
27:0,false,5,64,5,64,25,25,10,13,0,0,0,0,它尾部的硬化组织即使割下后也不会发生劣化。 人们迷信它的尾部能够招来财运， 导致许多喵丝特因此殒命。,https://paldb.cc/cn/Palpagos_Islands?pal=Bastet&t=dayTimeLocations
5:0,true,6,31,6,31,10,10,10,13,578,578,0,0,它产生的水可在任何地方形成波浪。 在事态紧急时可用身体冲浪形式移动。 但经常因为势头过猛，而发生撞墙而死的惨剧。,https://paldb.cc/cn/Palpagos_Islands?pal=BluePlatypus&t=dayTimeLocations
30:0,true,5,62,5,62,56,56,10,13,201,361,0,0,它会咬住敌人的脖子，将对方身体吸干。 帕鲁木乃伊极为罕见， 而它们基本上都是勾魂鱿的牺牲品。,https://paldb.cc/cn/Palpagos_Islands?pal=NegativeOctopus&t=dayTimeLocations
31:0,true,5,64,5,64,26,34,10,40,338,338,0,0,它的巨大爪子的硬度宛如钻石般坚固。 因为磨爪子需要消耗不少能量， 所以有时候等它磨完爪子，一天就过去了。,https://paldb.cc/cn/Palpagos_Islands?pal=CuteMole&t=dayTimeLocations
16:0,true,4,64,4,64,4,5,10,13,0,406,0,0,它眼神凶恶，朋友也很少， 但其实心地很善良。 有人曾目击到它向离群的玉藻狐分享食物。,https://paldb.cc/cn/Palpagos_Islands?pal=NegativeKoala&t=dayTimeLocations
11:0,true,2,16,2,16,2,2,10,13,169,169,0,0,它那被认为是鼻子的器官会喷出大量的水。 虽然也有人指出那只是鼻涕罢了， 但是研究者们仍然为此进行了热烈的讨论。,https://paldb.cc/cn/Palpagos_Islands?pal=Ganesha&t=dayTimeLocations
3:0,true,1,28,1,28,1,5,10,13,274,274,0,0,它非常弱小，却又非常美味。 与棉悠悠同样都是极为弱小的帕鲁。 但不论再怎么对这种帕鲁展开围猎，它们也还是会从某处冒出来。,https://paldb.cc/cn/Palpagos_Islands?pal=ChickenPal&t=dayTimeLocations
26:0,true,4,16,4,16,4,4,10,13,134,134,0,0,野生的燎火鹿从不生病，让人相当惊讶。 据说这种帕鲁永保健康的秘诀， 就是每天吃掉一根用树枝烧成的木炭。,https://paldb.cc/cn/Palpagos_Islands?pal=FlameBambi&t=dayTimeLocations
8:0,true,1,14,1,14,1,1,10,13,200,200,0,0,与棉悠悠相较，这种帕鲁的毛质更加优良， 个性也更适合作为家畜。 但历史上这种帕鲁总是被当成宠物。 毕竟可爱就是正义。,https://paldb.cc/cn/Palpagos_Islands?pal=WoolFox&t=dayTimeLocations
1:0,true,1,13,1,9,1,3,10,13,351,351,0,0,它只要走在坡道上就肯定会跌倒并滚动起来。 而且还会因为眼冒金星而无法动弹， 非常容易被当做是猎物，是食物链的底层。,https://paldb.cc/cn/Palpagos_Islands?pal=SheepBall&t=dayTimeLocations
13:0,true,2,4,2,4,2,2,,,23,23,0,0,互相紧盯然后拔刀一闪，这便是宗铭丸间的领地争夺。 说起来，最好不要训练被饲养的个体「等下」命令， 它会无法忍耐接到「好」的命令之后，发自本能的拔刀行为。,https://paldb.cc/cn/Palpagos_Islands?pal=SamuraiDog&t=dayTimeLocations
12:0,true,2,14,2,14,2,5,10,13,114,114,0,0,身体如树汁一般，是一种非常不可思议的帕鲁。 如果失去了头顶的新芽，便会渐渐枯萎。 最终走向腐烂殆尽的结局。,https://paldb.cc/cn/Palpagos_Islands?pal=PlantSlime&t=dayTimeLocations
14:0,true,3,13,3,9,3,3,10,13,60,60,0,0,曾经存在过额头上的叶子有3片以上的个体， 但是因为被当作了幸运的象征，叶片多的个体被滥捕， 最终导致整个种族开始向着叶片数量少的方向进化了。,https://paldb.cc/cn/Palpagos_Islands?pal=CloverFairy&t=dayTimeLocations
183:0,true,78,80,80,80,80,80,78,78,0,0,1,1,和敌人对峙时， 总是会做一些看似破绽百出的夸张动作。 可神奇的是，对手往往会被震慑住，愣愣地盯着它看。,https://paldb.cc/cn/Palpagos_Islands?pal=KabukiMan&t=dayTimeLocations
42:0,true,10,32,10,32,10,10,,,45,45,0,0,它在旱季时期容易精神紧绷，总是一触即发。 一旦和同伴发生摩擦， 就会演变成电火花四溅的大战。,https://paldb.cc/cn/Palpagos_Islands?pal=ElecCat&t=dayTimeLocations
15:0,true,4,41,4,41,4,4,10,13,24,24,0,0,它在受到冲击后会释放储存的电力。 它的电压超过1000万伏特。 将它扔出去的话，威力比普通的重型炮弹危险得多。,https://paldb.cc/cn/Palpagos_Islands?pal=Hedgehog&t=dayTimeLocations
10008:0,false,,,,,,,,,0,0,0,0,当前 1.0 数据未记录普通野外栖息地。,https://palbreedingcalculator.org
6:0,true,1,40,1,40,1,1,10,13,67,67,0,0,帕洛斯群岛的偶像。 胆敢欺负玉藻狐的人， 会在转眼间成为全民公敌。,https://paldb.cc/cn/Palpagos_Islands?pal=CuteFox&t=dayTimeLocations
10002:0,false,,,,,,,,,0,0,0,0,当前 1.0 数据未记录普通野外栖息地。,https://palbreedingcalculator.org
10003:0,false,,,,,,,,,0,0,0,0,当前 1.0 数据未记录普通野外栖息地。,https://palbreedingcalculator.org
10010:0,false,,,,,,,,,0,0,0,0,当前 1.0 数据未记录普通野外栖息地。,https://palbreedingcalculator.org
10006:0,false,,,,,,,,,0,0,0,0,当前 1.0 数据未记录普通野外栖息地。,https://palbreedingcalculator.org
10007:0,false,,,,,,,,,0,0,0,0,当前 1.0 数据未记录普通野外栖息地。,https://palbreedingcalculator.org
10012:0,false,,,,,,,,,0,0,0,0,当前 1.0 数据未记录普通野外栖息地。,https://palbreedingcalculator.org
41:1,true,36,80,36,80,50,50,,,259,259,0,0,它的白色飘带会一直吸收周围的热量。 不可思议的是，飘带的温度不会有丝毫变化。 因为它的这种性质，曾致使人类对其疯狂猎捕， 导致它至今仍对人类抱有戒心。,https://paldb.cc/cn/Palpagos_Islands?pal=BlueDragon_Ice&t=dayTimeLocations
96:1,true,75,77,75,77,75,77,,,0,0,69,69,特化适应了寒冷环境，即便身形纤细也能抵御严寒。 从高空俯冲攻击的威力惊人， 要比喻的话，就像巨大的冰锥从天而降一般。,https://paldb.cc/cn/Palpagos_Islands?pal=ThunderBird_Ice&t=dayTimeLocations
195:0,false,,,,,,,,,0,0,0,0,不为实体存在的她，曾经只是静静的凝视着这个世界。 不知从何时开始，萌生出了被他人注视的渴望。 不断膨胀的欲望甚至凝聚成对外界的恶意 渐渐她被人们称作狂乱淑女。,https://paldb.cc/cn/Palpagos_Islands?pal=NightLady&t=dayTimeLocations
112:1,true,34,80,34,80,35,46,36,38,116,517,0,0,它比较喜欢吃正常的肉，但每次吃到肚里的都成了受污染的肉。 这是因为它以暗黑利爪为武器， 但却不知猎物会因此受到诅咒。,https://paldb.cc/cn/Palpagos_Islands?pal=Manticore_Dark&t=dayTimeLocations
10005:0,false,,,,,,,,,0,0,0,0,当前 1.0 数据未记录普通野外栖息地。,https://palbreedingcalculator.org
108:1,true,35,80,35,80,51,51,,,7,7,0,0,它在交配前后，体味会发生巨大变化。 人们认为它找到伴侣前的香味芳香迷人， 将其称为「纯洁之香」。,https://paldb.cc/cn/Palpagos_Islands?pal=SakuraSaurus_Water&t=dayTimeLocations
85:1,true,23,67,23,67,47,56,51,52,1620,1990,0,0,它在死亡时身体会化为刀，由下一代继承。 若是继承的浪刃武士内心懦弱， 就会因为承受不住刀内亡魂的咒怨 化身为鬼刃武士，四处徘徊。,https://paldb.cc/cn/Palpagos_Islands?pal=Ronin_Dark&t=dayTimeLocations
34:1,true,13,58,13,58,50,52,23,58,52,52,0,0,它背上的灌木结出的果实，会根据其精神状态改变味道。 越是在恶劣的环境下生长，味道就会越来越甜 所以被饲养的绝大多数郁木羊，都不曾知晓爱。,https://paldb.cc/cn/Palpagos_Islands?pal=BerryGoat_Dark&t=dayTimeLocations
7:1,true,16,29,16,29,26,26,,,328,328,0,0,鲜艳的外表能帮助它找到命中之人。 自古以来，就有因为雷米儿而触电的事故。 现今的岛上，黄黑相间的纹理被认作危险的颜色。,https://paldb.cc/cn/Palpagos_Islands?pal=FlyingManta_Thunder&t=dayTimeLocations
