pal_id,world,x,y,time_of_day,level,is_boss
141:0,palpagos,-74998,-130345,both,48,false
141:0,palpagos,-74100,-149235,both,48,false
141:0,palpagos,-73670,-168785,both,48,false
141:0,palpagos,-73201,-162271,both,48,false
141:0,palpagos,-72731,-137462,both,48,false
141:0,palpagos,-70728,-141527,both,48,false
141:0,palpagos,-69322,-152912,both,48,false
141:0,palpagos,-68901,-146483,both,48,false
141:0,palpagos,-68800,-165550,both,48,false
141:0,palpagos,-67577,-169816,both,48,false
141:0,palpagos,-67264,-131805,both,48,false
141:0,palpagos,-66674,-149671,both,48,false
141:0,palpagos,-66070,-138077,both,48,false
141:0,palpagos,-65064,-141397,both,48,false
141:0,palpagos,-64299,-175358,both,48,false
141:0,palpagos,-63703,-157046,both,48,false
141:0,palpagos,-63638,-127693,both,48,false
141:0,palpagos,-63464,-183955,both,48,false
141:0,palpagos,-63015,-166099,both,48,false
141:0,palpagos,-62815,-160889,both,48,false
141:0,palpagos,-62291,-134347,both,48,false
141:0,palpagos,-62166,-171493,both,48,false
141:0,palpagos,-61399,-190179,both,48,false
141:0,palpagos,-60075,-178843,both,48,false
141:0,palpagos,-59878,-121154,both,48,false
141:0,palpagos,-58071,-156006,both,48,false
141:0,palpagos,-57683,-126057,both,48,false
141:0,palpagos,-56769,-115139,both,48,false
141:0,palpagos,-56632,-108363,both,48,false
141:0,palpagos,-56587,-183073,both,48,false
141:0,palpagos,-55789,-100009,both,48,false
141:0,palpagos,-54992,-172480,both,48,false
141:0,palpagos,-53588,-93995,both,48,false
141:0,palpagos,-53571,-191664,both,48,false
141:0,palpagos,-53410,-177232,both,48,false
141:0,palpagos,-53164,-187492,both,48,false
141:0,palpagos,-52031,-120393,both,48,false
141:0,palpagos,-51173,-181415,both,48,false
141:0,palpagos,-47237,-190470,both,48,false
141:0,palpagos,-46107,-186016,both,48,false
141:0,palpagos,-45268,-180318,both,48,false
141:0,palpagos,-41307,-182450,both,48,false
141:0,palpagos,-36998,-178927,both,48,false
141:0,palpagos,-36603,-174247,both,48,false
141:0,palpagos,-29880,-172263,both,48,false
141:0,palpagos,-26069,-168521,both,48,false
149:0,palpagos,-919951,-389386,both,62,false
149:0,palpagos,-887464,-461400,both,62,false
149:0,palpagos,-878119,-380758,both,62,false
149:0,palpagos,-866392,-363898,both,62,false
149:0,palpagos,-853889,-407134,both,62,false
149:0,palpagos,-839408,-446359,both,62,false
149:0,palpagos,-826638,-383616,both,62,false
149:0,palpagos,-815367,-392421,both,62,false
149:0,palpagos,-803660,-462425,both,62,false
149:0,palpagos,-796280,-356820,both,62,false
149:0,palpagos,-791718,-446387,both,62,false
149:0,palpagos,-784979,-271836,both,50,false
149:0,palpagos,-779925,-439814,both,62,false
149:0,palpagos,-773988,-450244,both,62,false
149:0,palpagos,-766992,-393699,both,62,false
149:0,palpagos,-764399,-399276,both,62,false
149:0,palpagos,-758745,-336693,both,62,false
149:0,palpagos,-753636,-228336,both,50,false
149:0,palpagos,-745613,-313811,both,62,false
149:0,palpagos,-739642,-323135,both,62,false
149:0,palpagos,-733114,-369338,both,62,false
149:0,palpagos,-726979,-296281,both,59,false
149:0,palpagos,-721216,-320244,both,62,false
149:0,palpagos,-716834,-428264,both,60,false
149:0,palpagos,-712503,-372191,both,59,false
149:0,palpagos,-708010,-235102,both,59,false
149:0,palpagos,-703268,-351917,both,59,false
149:0,palpagos,-697039,-222054,both,59,false
149:0,palpagos,-693179,-450109,both,60,false
149:0,palpagos,-687625,-239015,both,59,false
149:0,palpagos,-683832,-219952,both,59,false
149:0,palpagos,-678451,-462039,both,60,false
149:0,palpagos,-674729,-236934,both,59,false
149:0,palpagos,-671143,-302222,both,56,false
149:0,palpagos,-667377,-227109,both,59,false
149:0,palpagos,-663587,-432012,both,59,false
149:0,palpagos,-658451,-193514,both,55,false
149:0,palpagos,-655292,-387892,both,59,false
149:0,palpagos,-651295,-379215,both,59,false
149:0,palpagos,-648010,-283887,both,59,false
149:0,palpagos,-644284,-445101,both,60,false
149:0,palpagos,-640256,-165313,both,55,false
149:0,palpagos,-635465,-293019,both,59,false
149:0,palpagos,-630234,-345813,both,59,false
149:0,palpagos,-626589,-271389,both,59,false
149:0,palpagos,-622358,-306155,both,59,false
149:0,palpagos,-617049,-421899,both,56,false
149:0,palpagos,-613894,-343427,both,59,false
149:0,palpagos,-610441,-474578,both,60,false
149:0,palpagos,-606960,-125522,both,56,false
149:0,palpagos,-604634,-272485,both,55,false
149:0,palpagos,-600847,-466470,both,60,false
149:0,palpagos,-596664,-291207,both,55,false
149:0,palpagos,-592477,-277206,both,55,false
149:0,palpagos,-588793,-327510,both,59,false
149:0,palpagos,-584784,-346218,both,59,false
149:0,palpagos,-581014,-279684,both,55,false
149:0,palpagos,-576885,-335079,both,59,false
149:0,palpagos,-573425,-303195,both,59,false
149:0,palpagos,-569486,-395309,both,50,false
149:0,palpagos,-565174,-233545,both,55,false
149:0,palpagos,-560786,-302663,both,59,false
149:0,palpagos,-555716,-167455,both,56,false
149:0,palpagos,-551458,-361365,both,59,false
149:0,palpagos,-545859,-289475,both,55,false
149:0,palpagos,-539983,-352667,both,55,false
149:0,palpagos,-533723,-352349,both,55,false
149:0,palpagos,-528527,-280731,both,55,false
149:0,palpagos,-523851,-245818,both,56,false
149:0,palpagos,-517970,-208312,both,50,false
149:0,palpagos,-511809,-279930,both,56,false
149:0,palpagos,-500507,-372146,both,55,false
149:0,palpagos,-797364,-245387,both,60,true
68:0,palpagos,-198080,222378,both,34,false
68:0,palpagos,-194878,226050,both,34,false
68:0,palpagos,-193341,218786,both,34,false
68:0,palpagos,-191569,230757,both,34,false
68:0,palpagos,-189898,223111,both,34,false
68:0,palpagos,-189029,215702,both,34,false
68:0,palpagos,-184697,212221,both,34,false
68:0,palpagos,-183696,231703,both,34,false
68:0,palpagos,-181790,214984,both,34,false
68:0,palpagos,-181790,224032,both,34,false
68:0,palpagos,-179626,203688,both,34,false
68:0,palpagos,-179122,229165,both,34,false
68:0,palpagos,-177344,232811,both,34,false
68:0,palpagos,-175688,208939,both,34,false
68:0,palpagos,-174890,225785,both,34,false
68:0,palpagos,-174363,198412,both,34,false
68:0,palpagos,-174032,237528,both,34,false
68:0,palpagos,-171504,202991,both,34,false
68:0,palpagos,-170424,194528,both,34,false
68:0,palpagos,-169724,222682,both,34,false
68:0,palpagos,-168940,234811,both,34,false
68:0,palpagos,-167679,217944,both,34,false
68:0,palpagos,-167496,227448,both,34,false
68:0,palpagos,-167398,199118,both,34,false
68:0,palpagos,-165170,239011,both,34,false
68:0,palpagos,-162917,222877,both,34,false
68:0,palpagos,-157763,187758,both,34,false
68:0,palpagos,-155677,228797,both,34,false
68:0,palpagos,-153111,237016,both,34,false
68:0,palpagos,-151538,240281,both,34,false
68:0,palpagos,-149364,218224,both,34,false
68:0,palpagos,-147053,226718,both,34,false
68:0,palpagos,-145627,200921,both,34,false
68:0,palpagos,-144127,206713,both,34,false
68:0,palpagos,-143747,233855,both,34,false
68:0,palpagos,-138768,229755,both,34,false
68:0,palpagos,-135265,224292,both,34,false
68:0,palpagos,-134745,242427,both,34,false
68:0,palpagos,-131729,208959,both,34,false
68:0,palpagos,-129783,220063,both,34,false
68:0,palpagos,-127101,244853,both,34,false
68:0,palpagos,-119385,224711,both,34,false
68:0,palpagos,-162481,233115,both,39,true
91:0,palpagos,-379536,-65172,both,30,false
91:0,palpagos,-377994,-59113,both,30,false
91:0,palpagos,-376523,-74306,both,30,false
91:0,palpagos,-371897,-60461,both,30,false
91:0,palpagos,-367059,-77819,both,30,false
91:0,palpagos,-363824,-74180,both,30,false
91:0,palpagos,-359538,-68797,both,30,false
91:0,palpagos,-357997,-72714,both,30,false
91:0,palpagos,-354027,-69540,both,30,false
91:0,palpagos,-349830,154160,both,10,false
91:0,palpagos,-345074,-75231,both,30,false
91:0,palpagos,-344048,-88343,both,30,false
91:0,palpagos,-340608,-83289,both,30,false
91:0,palpagos,-338400,-77448,both,30,false
91:0,palpagos,-336818,-55979,both,33,false
91:0,palpagos,-334492,-90666,both,30,false
91:0,palpagos,-333066,-77910,both,30,false
91:0,palpagos,-331355,-38592,both,33,false
91:0,palpagos,-329750,-56832,both,33,false
91:0,palpagos,-327835,-43095,both,33,false
91:0,palpagos,-327715,-60874,both,33,false
91:0,palpagos,-325012,-85222,both,30,false
91:0,palpagos,-323704,-44260,both,33,false
91:0,palpagos,-322876,-57590,both,33,false
91:0,palpagos,-321614,-50399,both,33,false
91:0,palpagos,-320325,-83473,both,30,false
91:0,palpagos,-320023,-99512,both,30,false
91:0,palpagos,-316133,-65080,both,33,false
91:0,palpagos,-315746,-38612,both,33,false
91:0,palpagos,-314508,-43981,both,33,false
91:0,palpagos,-312007,-91548,both,30,false
91:0,palpagos,-309033,-65842,both,33,false
91:0,palpagos,-308975,-102669,both,30,false
91:0,palpagos,-308317,-58457,both,33,false
91:0,palpagos,-307732,-51879,both,33,false
91:0,palpagos,-302293,-48022,both,33,false
91:0,palpagos,-301514,-70563,both,33,false
91:0,palpagos,-300462,-59200,both,33,false
91:0,palpagos,-299465,-65649,both,33,false
91:0,palpagos,-297142,-55622,both,33,false
91:0,palpagos,-296356,-84463,both,33,false
91:0,palpagos,-295707,-61213,both,33,false
91:0,palpagos,-295342,-73857,both,33,false
91:0,palpagos,-292140,-193437,both,36,false
91:0,palpagos,-290716,-200297,both,36,false
91:0,palpagos,-288760,-74334,both,33,false
91:0,palpagos,-288415,-83176,both,33,false
91:0,palpagos,-288399,-67704,both,33,false
91:0,palpagos,-287558,-144866,both,36,false
91:0,palpagos,-287170,-195785,both,36,false
91:0,palpagos,-286390,-192039,both,36,false
91:0,palpagos,-285328,-198915,both,36,false
91:0,palpagos,-282634,-191986,both,36,false
91:0,palpagos,-282257,-213539,both,36,false
91:0,palpagos,-281982,-196796,both,36,false
91:0,palpagos,-280987,-68132,both,33,false
91:0,palpagos,-276422,-211834,both,36,false
91:0,palpagos,-274703,-194673,both,36,false
91:0,palpagos,-267477,-168217,both,36,false
91:0,palpagos,-267378,-197336,both,36,false
91:0,palpagos,-264288,-178165,both,36,false
91:0,palpagos,-262944,-169165,both,36,false
91:0,palpagos,-260615,-164070,both,36,false
91:0,palpagos,-260417,-180982,both,36,false
91:0,palpagos,-259810,-185138,both,36,false
91:0,palpagos,-259466,-192948,both,36,false
91:0,palpagos,-257733,-197975,both,36,false
91:0,palpagos,-256443,-171399,both,36,false
91:0,palpagos,-253437,-192898,both,36,false
91:0,palpagos,-251782,-173992,both,36,false
91:0,palpagos,-243651,-188116,both,36,false
91:0,palpagos,-237597,-185531,both,36,false
117:0,palpagos,-128598,132116,night,40,false
117:0,palpagos,-122314,143199,night,40,false
117:0,palpagos,-113951,120129,night,40,false
117:0,palpagos,-108887,114857,night,40,false
117:0,palpagos,-103123,118603,night,40,false
117:0,palpagos,-98810,115591,night,40,false
117:0,palpagos,-93291,146038,night,40,false
117:0,palpagos,-90155,112531,night,40,false
117:0,palpagos,-85326,144906,night,40,false
117:0,palpagos,-80579,147091,night,40,false
117:0,palpagos,-75677,158986,night,40,false
117:0,palpagos,-72281,141358,night,40,false
117:0,palpagos,-69099,127173,night,40,false
117:0,palpagos,-66035,149566,night,40,false
117:0,palpagos,-62358,111074,night,40,false
117:0,palpagos,-60538,127033,night,40,false
117:0,palpagos,-55758,105965,night,40,false
117:0,palpagos,-53627,158663,night,40,false
117:0,palpagos,-52180,152082,night,40,false
117:0,palpagos,-50024,96902,night,40,false
117:0,palpagos,-47914,155249,night,40,false
117:0,palpagos,-45574,158837,night,40,false
117:0,palpagos,-43593,126090,night,40,false
117:0,palpagos,-40655,113569,night,40,false
117:0,palpagos,-38187,48842,night,40,false
117:0,palpagos,-35024,120687,night,40,false
117:0,palpagos,-33906,150816,night,40,false
117:0,palpagos,-30151,47031,night,40,false
117:0,palpagos,-28295,123185,night,40,false
117:0,palpagos,-26796,155518,night,40,false
117:0,palpagos,-22736,159380,night,40,false
117:0,palpagos,-18600,150884,night,40,false
117:0,palpagos,-16909,156762,night,40,false
117:0,palpagos,-14818,119266,night,40,false
117:0,palpagos,-12885,130601,night,40,false
117:0,palpagos,-8057,171036,night,43,false
117:0,palpagos,-5605,159545,night,43,false
117:0,palpagos,-2131,16813,night,45,false
117:0,palpagos,914,177054,night,43,false
117:0,palpagos,4599,154560,night,43,false
117:0,palpagos,6921,1658,night,45,false
117:0,palpagos,12979,163482,night,43,false
117:0,palpagos,16412,7088,night,45,false
117:0,palpagos,22481,165840,night,43,false
117:0,palpagos,25105,-6436,night,45,false
117:0,palpagos,27496,-15655,night,45,false
117:0,palpagos,32397,4982,night,46,false
117:0,palpagos,34905,183173,night,43,false
117:0,palpagos,39947,190264,night,43,false
117:0,palpagos,42700,-32585,night,45,false
117:0,palpagos,47013,-10738,night,45,false
117:0,palpagos,49565,-20157,night,45,false
117:0,palpagos,54699,-39224,night,45,false
117:0,palpagos,60207,212714,night,40,false
117:0,palpagos,63632,-37307,night,45,false
117:0,palpagos,67479,-30538,night,45,false
117:0,palpagos,70738,-40558,night,45,false
117:0,palpagos,74870,-14240,night,46,false
117:0,palpagos,82349,66649,night,52,false
117:0,palpagos,88266,-41773,night,46,false
117:0,palpagos,90872,36851,night,52,false
117:0,palpagos,93037,-34104,night,46,false
117:0,palpagos,96165,-23200,night,46,false
117:0,palpagos,104565,80492,night,52,false
117:0,palpagos,116522,53494,night,52,false
117:0,palpagos,123873,9626,night,52,false
117:0,palpagos,128446,47226,night,52,false
117:0,palpagos,133510,27495,night,52,false
117:0,palpagos,139526,65334,night,54,false
117:0,palpagos,143567,61290,night,54,false
117:0,palpagos,148401,52051,night,54,false
117:0,palpagos,161115,60340,night,54,false
98:0,palpagos,-807954,-282768,both,52,false
98:0,palpagos,-802275,-296495,both,52,false
98:0,palpagos,-801621,-282768,both,52,false
98:0,palpagos,-796193,-266328,both,52,false
98:0,palpagos,-795478,-300741,both,52,false
98:0,palpagos,-795240,-271634,both,52,false
98:0,palpagos,-790352,-325018,both,52,false
98:0,palpagos,-789776,-259178,both,52,false
98:0,palpagos,-789436,-254227,both,52,false
98:0,palpagos,-784979,-271836,both,52,false
98:0,palpagos,-783870,-259314,both,52,false
98:0,palpagos,-783370,-300797,both,52,false
98:0,palpagos,-778108,-300569,both,52,false
98:0,palpagos,-777898,-295007,both,52,false
98:0,palpagos,-777596,-276645,both,52,false
98:0,palpagos,-777249,-248856,both,52,false
98:0,palpagos,-772057,-248066,both,52,false
98:0,palpagos,-771838,-252509,both,52,false
98:0,palpagos,-770994,-318699,both,52,false
98:0,palpagos,-766299,-248519,both,52,false
98:0,palpagos,-765594,-295043,both,52,false
98:0,palpagos,-760315,-276597,both,52,false
98:0,palpagos,-759442,-294460,both,52,false
98:0,palpagos,-754283,-277002,both,52,false
98:0,palpagos,-753353,-265036,both,52,false
98:0,palpagos,-736272,-272722,both,52,false
98:0,palpagos,-728982,-263284,both,52,false
98:0,palpagos,-722059,-258103,both,52,false
98:0,palpagos,-712189,-271991,both,52,false
98:0,palpagos,-698071,-256953,both,52,false
98:0,palpagos,-691666,-259131,both,52,false
98:0,palpagos,-686071,-260136,both,56,false
98:0,palpagos,-681464,-271617,both,56,false
98:0,palpagos,-680180,-260386,both,56,false
98:0,palpagos,-677051,-277741,both,56,false
98:0,palpagos,-674652,-266384,both,56,false
98:0,palpagos,-667538,-260955,both,56,false
98:0,palpagos,-464206,-56098,both,36,false
98:0,palpagos,-113681,133466,both,31,false
98:0,palpagos,-107201,126925,both,31,false
98:0,palpagos,-100439,143351,both,31,false
98:0,palpagos,-93291,146038,both,31,false
98:0,palpagos,-85383,151970,both,31,false
98:0,palpagos,-81973,156196,both,31,false
98:0,palpagos,-77009,153719,both,31,false
98:0,palpagos,-70859,137647,both,31,false
98:0,palpagos,-69651,145471,both,31,false
98:0,palpagos,-66035,149566,both,31,false
98:0,palpagos,-61646,164745,both,31,false
98:0,palpagos,-60062,91737,both,31,false
98:0,palpagos,-57141,136554,both,31,false
98:0,palpagos,-54628,164663,both,31,false
98:0,palpagos,-51263,144631,both,31,false
98:0,palpagos,-50024,96902,both,31,false
98:0,palpagos,-47914,155249,both,31,false
98:0,palpagos,-45574,158837,both,31,false
98:0,palpagos,-44490,146360,both,31,false
98:0,palpagos,-41351,167797,both,31,false
98:0,palpagos,-39532,43455,both,31,false
98:0,palpagos,-35739,97932,both,31,false
98:0,palpagos,-34866,46849,both,31,false
98:0,palpagos,-33906,150816,both,31,false
98:0,palpagos,-30312,76441,both,31,false
98:0,palpagos,-29919,96301,both,31,false
98:0,palpagos,-28111,32007,both,31,false
98:0,palpagos,-27555,79756,both,31,false
98:0,palpagos,-24884,164304,both,31,false
98:0,palpagos,-22261,101876,both,31,false
98:0,palpagos,-18259,175974,both,31,false
98:0,palpagos,-15711,114273,both,31,false
98:0,palpagos,-14818,119266,both,31,false
98:0,palpagos,-13479,156698,both,31,false
147:0,palpagos,-807954,-282768,both,52,false
147:0,palpagos,-796193,-266328,both,52,false
147:0,palpagos,-795215,-254419,both,52,false
147:0,palpagos,-789436,-254227,both,52,false
147:0,palpagos,-783858,-306390,both,52,false
147:0,palpagos,-778108,-300569,both,52,false
147:0,palpagos,-777311,-314521,both,52,false
147:0,palpagos,-771903,-330447,both,63,false
147:0,palpagos,-766888,-408573,both,63,false
147:0,palpagos,-765643,-264482,both,52,false
147:0,palpagos,-764399,-399276,both,63,false
147:0,palpagos,-759873,-224612,both,52,false
147:0,palpagos,-758812,-327497,both,63,false
147:0,palpagos,-754374,-313044,both,63,false
147:0,palpagos,-753636,-228336,both,52,false
147:0,palpagos,-748134,-320934,both,63,false
147:0,palpagos,-744278,-326899,both,63,false
147:0,palpagos,-741313,-299190,both,63,false
147:0,palpagos,-737759,-400934,both,61,false
147:0,palpagos,-734516,-261835,both,52,false
147:0,palpagos,-730679,-221161,both,61,false
147:0,palpagos,-727592,-250766,both,52,false
147:0,palpagos,-724427,-411162,both,61,false
147:0,palpagos,-721552,-252694,both,52,false
147:0,palpagos,-719327,-226479,both,61,false
147:0,palpagos,-716676,-312219,both,61,false
147:0,palpagos,-714458,-228197,both,61,false
147:0,palpagos,-711998,-405771,both,61,false
147:0,palpagos,-709515,-254901,both,52,false
147:0,palpagos,-707273,-369565,both,61,false
147:0,palpagos,-704427,-260880,both,52,false
147:0,palpagos,-701815,-229796,both,61,false
147:0,palpagos,-698743,-286836,both,61,false
147:0,palpagos,-696569,-244342,both,61,false
147:0,palpagos,-694015,-354344,both,61,false
147:0,palpagos,-690802,-218839,both,61,false
147:0,palpagos,-687508,-331123,both,61,false
147:0,palpagos,-684704,-427215,both,61,false
147:0,palpagos,-679969,-379538,both,61,false
147:0,palpagos,-677640,-384332,both,61,false
147:0,palpagos,-674729,-236934,both,61,false
147:0,palpagos,-672458,-334906,both,61,false
147:0,palpagos,-669578,-373143,both,61,false
147:0,palpagos,-667030,-378159,both,61,false
147:0,palpagos,-663587,-432012,both,61,false
147:0,palpagos,-659519,-318498,both,61,false
147:0,palpagos,-657255,-333047,both,61,false
147:0,palpagos,-654641,-295003,both,61,false
147:0,palpagos,-651513,-342758,both,61,false
147:0,palpagos,-649111,-256055,both,61,false
147:0,palpagos,-646179,-361428,both,61,false
147:0,palpagos,-643763,-294770,both,61,false
147:0,palpagos,-640855,-309091,both,61,false
147:0,palpagos,-637944,-404058,both,61,false
147:0,palpagos,-633653,-386940,both,61,false
147:0,palpagos,-630169,-323053,both,61,false
147:0,palpagos,-627066,-258122,both,61,false
147:0,palpagos,-621241,-318523,both,61,false
147:0,palpagos,-610794,-367145,both,61,false
147:0,palpagos,-605824,-395124,both,61,false
147:0,palpagos,-601095,-353486,both,61,false
147:0,palpagos,-595942,-336175,both,61,false
147:0,palpagos,-590878,-379962,both,61,false
147:0,palpagos,-587593,-355400,both,61,false
147:0,palpagos,-582561,-336193,both,61,false
147:0,palpagos,-578281,-356844,both,61,false
147:0,palpagos,-575741,-311103,both,61,false
147:0,palpagos,-570949,-356972,both,61,false
147:0,palpagos,-565340,-381621,both,61,false
147:0,palpagos,-560786,-302663,both,61,false
147:0,palpagos,-555636,-320970,both,61,false
147:0,palpagos,-551974,-392161,both,61,false
147:0,palpagos,-568029,-464143,both,63,true
112:0,palpagos,-727249,-208066,both,65,false
112:0,palpagos,-719593,-205467,both,65,false
112:0,palpagos,-719110,-213296,both,65,false
112:0,palpagos,-714399,-218402,both,65,false
112:0,palpagos,-713576,-209972,both,65,false
112:0,palpagos,-710796,-215617,both,65,false
112:0,palpagos,-709168,-201786,both,65,false
112:0,palpagos,-708816,-206892,both,65,false
112:0,palpagos,-705639,-212924,both,65,false
112:0,palpagos,-703664,-205809,both,65,false
112:0,palpagos,-700219,-209903,both,65,false
112:0,palpagos,-695418,-196850,both,65,false
112:0,palpagos,-694930,-210001,both,65,false
112:0,palpagos,-693571,-202775,both,65,false
112:0,palpagos,-692328,-197755,both,65,false
112:0,palpagos,-689291,-204081,both,65,false
112:0,palpagos,-686956,-208546,both,65,false
112:0,palpagos,-684305,-212852,both,65,false
112:0,palpagos,-681417,-205606,both,65,false
112:0,palpagos,-680513,-196362,both,65,false
112:0,palpagos,-677073,-189405,both,,false
112:0,palpagos,-674672,-188400,both,65,false
112:0,palpagos,-670750,-183312,both,65,false
112:0,palpagos,-668851,-176678,both,65,false
112:0,palpagos,-667391,-171970,both,65,false
112:0,palpagos,-336818,-55979,both,35,false
112:0,palpagos,-335337,-49450,both,35,false
112:0,palpagos,-331355,-38592,both,35,false
112:0,palpagos,-329750,-56832,both,35,false
112:0,palpagos,-327835,-43095,both,35,false
112:0,palpagos,-327715,-60874,both,35,false
112:0,palpagos,-323704,-44260,both,35,false
112:0,palpagos,-322977,-63962,both,35,false
112:0,palpagos,-322876,-57590,both,35,false
112:0,palpagos,-321614,-50399,both,35,false
112:0,palpagos,-320426,-36948,both,35,false
112:0,palpagos,-318201,-53766,both,35,false
112:0,palpagos,-316133,-65080,both,35,false
112:0,palpagos,-315746,-38612,both,35,false
112:0,palpagos,-315230,-57703,both,35,false
112:0,palpagos,-314508,-43981,both,35,false
112:0,palpagos,-310106,-72310,both,35,false
112:0,palpagos,-309033,-65842,both,35,false
112:0,palpagos,-308973,-77619,both,35,false
112:0,palpagos,-308317,-58457,both,35,false
112:0,palpagos,-307732,-51879,both,35,false
112:0,palpagos,-302293,-48022,both,35,false
112:0,palpagos,-301514,-70563,both,35,false
112:0,palpagos,-300462,-59200,both,35,false
112:0,palpagos,-299465,-65649,both,35,false
112:0,palpagos,-297142,-55622,both,35,false
112:0,palpagos,-296356,-84463,both,35,false
112:0,palpagos,-295707,-61213,both,35,false
112:0,palpagos,-295449,-66845,both,35,false
112:0,palpagos,-295342,-73857,both,35,false
112:0,palpagos,-288760,-74334,both,35,false
112:0,palpagos,-288415,-83176,both,35,false
112:0,palpagos,-288399,-67704,both,35,false
112:0,palpagos,-282195,-75377,both,35,false
112:0,palpagos,-280987,-68132,both,35,false
112:0,worldTree,432395,-738990,both,80,false
112:0,worldTree,440875,-705850,both,80,false
112:0,worldTree,481910,-728450,both,80,false
112:0,worldTree,484050,-616590,both,80,false
112:0,worldTree,501340,-553790,both,80,false
112:0,worldTree,504895,-634410,both,80,false
112:0,worldTree,505061,-544208,both,80,false
112:0,worldTree,507600,-534060,both,80,false
112:0,worldTree,507830,-739460,both,80,false
112:0,worldTree,511395,-588755,both,80,false
112:0,worldTree,519080,-684705,both,80,false
112:0,worldTree,522790,-546340,both,80,false
112:0,worldTree,530795,-714440,both,80,false
112:0,worldTree,539955,-583230,both,80,false
112:0,worldTree,562240,-739265,both,80,false
112:0,worldTree,563900,-594970,both,80,false
112:0,worldTree,584800,-629000,both,80,false
112:0,worldTree,599576,-591256,both,80,false
112:0,worldTree,613035,-603440,both,80,false
112:0,worldTree,622300,-711610,both,80,false
112:0,worldTree,622665,-753354,both,80,false
112:0,palpagos,-183819,40648,both,30,true
115:0,palpagos,-185048,-142367,both,35,false
115:0,palpagos,-182701,-137227,both,35,false
115:0,palpagos,-179448,-136513,both,35,false
115:0,palpagos,-174925,-140348,both,35,false
115:0,palpagos,-174849,-146247,both,35,false
115:0,palpagos,-173850,-135885,both,35,false
115:0,palpagos,-169655,-148921,both,35,false
115:0,palpagos,-169453,-137336,both,35,false
115:0,palpagos,-162078,-147067,both,35,false
115:0,palpagos,-161288,-139502,both,35,false
115:0,worldTree,579115,-582725,both,75,false
115:0,worldTree,581010,-586890,both,75,false
115:0,worldTree,585960,-586235,both,75,false
115:0,worldTree,590610,-587630,both,75,false
115:0,worldTree,594230,-594325,both,75,false
115:0,worldTree,596218,-587630,both,75,false
115:0,worldTree,596495,-598040,both,75,false
115:0,worldTree,597880,-594560,both,75,false
115:0,worldTree,598440,-600775,both,75,false
115:0,worldTree,599315,-604335,both,75,false
115:0,worldTree,602205,-605480,both,75,false
115:0,worldTree,602545,-595815,both,75,false
115:0,worldTree,603555,-602650,both,75,false
115:0,worldTree,605065,-598600,both,75,false
115:0,worldTree,605360,-608475,both,75,false
115:0,worldTree,605790,-616460,both,75,false
115:0,worldTree,606065,-605255,both,75,false
115:0,worldTree,606655,-590165,both,75,false
115:0,worldTree,609260,-610030,both,75,false
115:0,worldTree,610548,-592982,both,75,false
115:0,worldTree,613440,-587645,both,75,false
115:0,worldTree,614075,-595570,both,75,false
115:0,worldTree,617685,-591900,both,75,false
115:0,worldTree,618175,-604800,both,75,false
115:0,worldTree,618405,-598720,both,75,false
115:0,worldTree,627024,-610782,both,75,false
93:0,palpagos,-538826,-337668,both,57,false
93:0,palpagos,-379536,-65172,both,30,false
93:0,palpagos,-377994,-59113,both,30,false
93:0,palpagos,-376523,-74306,both,30,false
93:0,palpagos,-371897,-60461,both,30,false
93:0,palpagos,-367059,-77819,both,30,false
93:0,palpagos,-365586,-68148,both,30,false
93:0,palpagos,-359538,-68797,both,30,false
93:0,palpagos,-358329,-82327,both,30,false
93:0,palpagos,-357997,-72714,both,30,false
93:0,palpagos,-354027,-69540,both,30,false
93:0,palpagos,-352437,-83351,both,30,false
93:0,palpagos,-352398,-193303,both,35,false
93:0,palpagos,-347191,-198328,both,35,false
93:0,palpagos,-344316,-69047,both,30,false
93:0,palpagos,-344048,-88343,both,30,false
93:0,palpagos,-341886,-195848,both,35,false
93:0,palpagos,-339634,-69018,both,30,false
93:0,palpagos,-338400,-77448,both,30,false
93:0,palpagos,-336818,-55979,both,32,false
93:0,palpagos,-335337,-49450,both,32,false
93:0,palpagos,-334492,-90666,both,30,false
93:0,palpagos,-333066,-77910,both,30,false
93:0,palpagos,-331922,-84983,both,30,false
93:0,palpagos,-331355,-38592,both,32,false
93:0,palpagos,-329750,-56832,both,32,false
93:0,palpagos,-329377,-75811,both,30,false
93:0,palpagos,-327715,-60874,both,32,false
93:0,palpagos,-327620,-183756,both,35,false
93:0,palpagos,-327591,-80065,both,30,false
93:0,palpagos,-325594,-189384,both,35,false
93:0,palpagos,-325012,-85222,both,30,false
93:0,palpagos,-323704,-44260,both,32,false
93:0,palpagos,-322876,-57590,both,32,false
93:0,palpagos,-321614,-50399,both,32,false
93:0,palpagos,-320426,-36948,both,32,false
93:0,palpagos,-320023,-99512,both,30,false
93:0,palpagos,-318201,-53766,both,32,false
93:0,palpagos,-316133,-65080,both,32,false
93:0,palpagos,-315746,-38612,both,32,false
93:0,palpagos,-315230,-57703,both,32,false
93:0,palpagos,-314513,-188848,both,35,false
93:0,palpagos,-314508,-43981,both,32,false
93:0,palpagos,-310106,-72310,both,32,false
93:0,palpagos,-309033,-65842,both,32,false
93:0,palpagos,-308975,-102669,both,30,false
93:0,palpagos,-308317,-58457,both,32,false
93:0,palpagos,-307732,-51879,both,32,false
